Population Size, CrossOver Rate, Mutation Rate, Tournament Size, Best Fitness, Elitism
3000, 0.07, 0.015, 10, 0.4, 20397
2500, 0.06, 0.015, 5, 0.6, 19731
2500, 0.06, 0.001, 2, 0.4, 20894
2500, 0.07, 0.015, 5, 0.6, 21510
3000, 0.55, 0.001, 10, 0.0, 17840
3000, 0.65, 0.015, 5, 0.6, 19659
3000, 0.65, 0.001, 10, 0.0, 19320
3000, 0.5, 0.015, 2, 0.6, 19682
2500, 0.07, 0.005, 2, 0.6, 20855
2500, 0.55, 0.015, 2, 0.2, 20056
2500, 0.07, 0.01, 5, 0.6, 19565
3000, 0.07, 0.005, 2, 0.6, 19465
3000, 0.06, 0.015, 10, 0.6, 19553
3000, 0.06, 0.001, 5, 0.4, 19892
3000, 0.5, 0.01, 10, 0.0, 18829
2500, 0.07, 0.01, 5, 0.2, 19551
3500, 0.07, 0.02, 10, 0.2, 20642
2500, 0.65, 0.01, 10, 0.0, 20861
3500, 0.06, 0.01, 10, 0.0, 21242
3500, 0.06, 0.005, 10, 0.0, 21655
2500, 0.55, 0.015, 10, 0.0, 20281
3500, 0.65, 0.015, 5, 0.2, 18704
2500, 0.55, 0.02, 10, 0.2, 21213
3500, 0.07, 0.015, 10, 0.6, 18570
3500, 0.5, 0.015, 5, 0.2, 19845
3500, 0.5, 0.001, 5, 0.6, 19748
3000, 0.65, 0.01, 5, 0.2, 19326
3500, 0.07, 0.02, 2, 0.2, 19624
2500, 0.5, 0.01, 2, 0.4, 19084
3000, 0.55, 0.001, 2, 0.4, 19894
3500, 0.07, 0.005, 2, 0.6, 18663
3500, 0.06, 0.01, 2, 0.2, 18922
3500, 0.06, 0.015, 2, 0.6, 18420
2500, 0.55, 0.01, 2, 0.2, 19203
3000, 0.5, 0.015, 2, 0.0, 20206
2500, 0.06, 0.01, 2, 0.2, 21510
3000, 0.65, 0.01, 10, 0.6, 19748
3500, 0.07, 0.02, 10, 0.4, 18876
2500, 0.55, 0.005, 5, 0.0, 20410
2500, 0.07, 0.001, 10, 0.0, 20311
2500, 0.65, 0.005, 2, 0.4, 19736
3500, 0.55, 0.01, 2, 0.0, 21337
3000, 0.55, 0.02, 2, 0.6, 20152
3000, 0.65, 0.01, 2, 0.0, 19707
3000, 0.5, 0.01, 5, 0.6, 18711
3500, 0.5, 0.005, 2, 0.6, 20496
2500, 0.07, 0.01, 10, 0.6, 19792
3500, 0.5, 0.015, 2, 0.0, 20106
3000, 0.65, 0.005, 10, 0.6, 19566
3000, 0.55, 0.015, 10, 0.6, 19234
3500, 0.65, 0.02, 2, 0.2, 19820
2500, 0.65, 0.005, 2, 0.6, 17439
3000, 0.06, 0.001, 10, 0.4, 21134
2500, 0.07, 0.01, 2, 0.2, 19355
3000, 0.5, 0.01, 2, 0.6, 19206
2500, 0.55, 0.015, 2, 0.4, 19212
2500, 0.65, 0.02, 2, 0.0, 19260
3000, 0.65, 0.001, 2, 0.0, 20375
3000, 0.07, 0.001, 10, 0.6, 21018
3000, 0.06, 0.02, 10, 0.4, 19616
3000, 0.5, 0.01, 2, 0.0, 21258
2500, 0.55, 0.001, 5, 0.6, 18077
2500, 0.06, 0.015, 5, 0.2, 17409
3000, 0.65, 0.005, 2, 0.6, 18826
3500, 0.5, 0.005, 10, 0.4, 19042
3000, 0.06, 0.015, 10, 0.0, 20658
3500, 0.65, 0.005, 2, 0.2, 19793
3500, 0.07, 0.01, 5, 0.0, 17170
3500, 0.55, 0.02, 2, 0.6, 20076
3500, 0.55, 0.001, 10, 0.4, 20472
2500, 0.65, 0.02, 10, 0.0, 20704
3000, 0.65, 0.001, 10, 0.4, 19890
3000, 0.65, 0.02, 10, 0.4, 18198
2500, 0.5, 0.001, 5, 0.4, 19603
2500, 0.65, 0.001, 5, 0.2, 19871
3500, 0.65, 0.015, 5, 0.0, 20813
3000, 0.5, 0.001, 5, 0.0, 20205
3000, 0.55, 0.02, 5, 0.4, 19980
2500, 0.65, 0.02, 10, 0.4, 20408
3500, 0.65, 0.02, 10, 0.2, 20137
3500, 0.07, 0.005, 5, 0.6, 20473
2500, 0.5, 0.01, 10, 0.4, 19880
3500, 0.5, 0.02, 10, 0.2, 20484
2500, 0.07, 0.005, 5, 0.0, 20630
2500, 0.5, 0.01, 10, 0.2, 21298
3000, 0.5, 0.005, 2, 0.6, 20432
3500, 0.65, 0.01, 5, 0.4, 19120
2500, 0.07, 0.01, 10, 0.2, 20498
2500, 0.5, 0.01, 2, 0.6, 20358
2500, 0.06, 0.02, 5, 0.2, 19655
3500, 0.06, 0.015, 2, 0.2, 20432
3500, 0.5, 0.005, 2, 0.0, 18732
2500, 0.65, 0.02, 10, 0.2, 20761
3500, 0.07, 0.015, 2, 0.2, 18190
3000, 0.5, 0.005, 2, 0.2, 19544
2500, 0.65, 0.02, 5, 0.2, 20375
2500, 0.5, 0.02, 5, 0.2, 19736
3500, 0.65, 0.01, 10, 0.0, 20330
3000, 0.06, 0.005, 10, 0.0, 19841
3000, 0.07, 0.005, 5, 0.6, 18425
3500, 0.07, 0.015, 5, 0.0, 19858
3000, 0.06, 0.001, 5, 0.2, 19566
3500, 0.5, 0.001, 5, 0.2, 21463
3500, 0.55, 0.02, 5, 0.2, 19198
3000, 0.06, 0.01, 5, 0.4, 19778
3500, 0.07, 0.001, 5, 0.4, 19030
3000, 0.07, 0.015, 2, 0.4, 20997
